文本,真实标签,预测标签,文本长度
这个宾馆比较陈旧了，特价的房间也很一般。总体来说一般,正面,负面,26
书一到，即被朋友借走，我是早已看过了的，买它，是因为张爱玲。看过张子静的《我的姊姊张爱玲》，可以看出，张对自己的弟弟也是不甚热情，这是她的性格。但是有一次张子静去找她，那天张爱玲却是很开心的样子。后来张子静推算，彼时张爱玲正与胡兰成相恋。很多人不耻于胡兰成的用情不专，我当然也很反感，但我也想说，胡兰成是给过张爱的欢喜的。张是怎样聪明的女子，若不是爱，她也不会那么痴。属于他们的爱情，让他们自己品尝与承担。胡的文字，确实是不错的，有一种儒雅在里面。不知道是不是那份淡淡的气氛，曾经让张心动——“岁月静好，现世安稳”。,负面,正面,258
没有许多网友评价热度高的问题，第一次要手动安装winxp，主板的blis-硬盘重新设置,正面,负面,43
请问：有些字打错了，我怎么样才可以回去编辑一下啊？,正面,负面,25
3999的时候抢购的 运气真好 这个价格还有什么号说的 品牌和价格都很不错,负面,正面,37
"酒店设施尚可,房间内镜子太多.携程的套餐包括送水果,还有巧克力,比较温馨. 服务一般,入住时前台试图诱导我买早餐,两大一小每天早餐440元,两天共计880元,另外冰箱里的东西可以随便吃,被我拒绝了!第二天就不再送水果巧克力了,连免费的两瓶水也不给了...酒店离九龙又一城步行约15分钟,旁边有个公园,但是离地铁远了点,需要做小巴,有时6元每人,有时3元每人,开得飞快很吓人,小孩同样费用,就是这点不满意,还是住得离地铁近些比较方便.",正面,负面,216
没发现什么优点，回来了开机什么都没有，有自己装的XP也没费什么劲，麦有些问题。对方听不清。调了好久才好了，整体还不错,正面,负面,58
原本在网上订了两个套房，入住后，携程还给我打电话问是否只入住了一间，要扣我信用卡里的钱。真不知道酒店与携程是如何衔接的？ 宾馆反馈 2007年12月7日 ： 我们非常感谢您的留言，非常抱歉由于一些小误会给您带来的困惑。根据我们的担保订房要求，对于确认担保的房间未入住的会收取当天房费。当然，我们也会进一步加强与携程的沟通与协调，让您今后的入住感觉更加舒适与愉快。,正面,负面,181
《离婚》也读完了。“离婚”翻译成更明白的话，应该叫幻灭。所有的对生活的希望都伴随着该离婚的人的不离婚而破灭了。,正面,负面,55
v系统和XP系统能做到二选一就更好了，毕竟大部分人还是更偏爱XP系统。,负面,正面,35
住了几次，这次还特意带了朋友一起去入住，结果，酒店的早餐让我们太失望了，越来越差啊，九点去的时候吃的东西都没有什么了，以后我是不会再来了。,正面,负面,69
于丹每天讲如何如何学习孔子、庄子，如何有心得（中学作文：读后感）。很多东西非常牵强，让人不可理解。于丹开口闭口讲不为功不为利，可为什么招摇过市，搞了那么多炒作活动！说到底，为了什么呢---名利。天下熙熙，皆为利来；天下攘攘，皆为利往。于丹真是活学活用的楷模！,负面,正面,129
外观很有特点，长城外观，显然白天为了省电，大堂不开灯。。。似乎感觉上入住的人数有点少，另外就是入住手续有点意思，开什么入住通知书等等。。。,正面,负面,69
： 配置不错，奔腾双核感觉也不差~价格合适 不足： 装系统比较麻烦~ 总结： 不错，对得起这个价钱,负面,正面,49
卡梅拉是之勇敢的小鸡简单而执着我喜欢哦~同事的小宝宝也很喜欢~还有我将给我男朋友听的也很投入~,负面,正面,47
本次入住酒店的网络不是很稳定，断断续续，希望能够改进。,正面,负面,27
嗯嗯，写过了，除了部分材料不太好买，真的是本不错的书。,正面,负面,27
学到后面，发现不是都和笔记一样，就前面几章一样,正面,负面,23
书已收到，貌似觉得字有点小，哎，可惜了书里的内容几乎和网上看到的一样，嘿嘿，原以为还可以和良言写意一样多点番外的内容呢，哈哈,正面,负面,62
房间比中州皇冠之类的大多了，服务也还可以；早餐太次，品种太少。 此外，房间装修在细节性方面有待改进，尤其是门框等木质装饰，实在不像5星级别。,正面,负面,70
"又是为了吸烟区和非吸烟区！一开始总是说没有，最后还都能找到， 唉！ 真不明白。 宾馆反馈 2008年7月8日 ： 您的宝贵意见得到了我们酒店管理层的高度重视,我们已经加强了从预订到前台对客人的吸烟房和无烟房的需求的重视.但如果酒店房间特别紧张时,酒店也只有将吸烟房做无烟处理,敬请谅解!欢迎您下次继续入住我酒店!",正面,负面,156
优点不用说了，谁让咱是穷人价格是很吸引人的因素。我只说说缺点，拿到手后发现风扇发出很尖锐的高频声音，安静的时候很是不爽。一气之下我把它给拆了，应该是装配问题，风扇运转很安静，是其他地方和它发生了共振或摩擦，从新装了一遍现在好了。底部外壳在按的的时候会发生一个咔的声音，经过仔细观察，是底壳和板子边缘产生的，稍微处理一下接触部位解决。,正面,负面,166
虽然我住的是豪华房，但是房间的设施还是显得有些陈旧。早点并不是非常的丰富，不过我想对于在四星饭店里的50元钱的早点，可能是我要求过高了。不过这个酒店的门脸可这是够背的。藏在了一个小胡同里面。不过还好出租车司机都知道。,正面,负面,108
作为一名老师，我已经将这本书作为礼物送给了我刚刚参加完高考的学生，相信会对他们有所启发。,正面,负面,44
酒店的大堂真的很旧了，房间还可以，早餐的西餐厅比以前的就餐环境好了，以前乱哄哄的，（以前早餐是凭2张餐券，很多人估计叫外面的人来吃所以乱乱的），现在凭房卡就好多了。,正面,负面,82
"人活着为了一切美好的事物,美食,美景,美事...当然更重要的是美好的理想.太过入世不见得是件好事.",负面,正面,49
嘻嘻，书还没到我就给写了评，不过我告诉大家个小秘密，我没看结局！,正面,负面,32
之前买过一本UK版TWILIGHT 三联买的 109好像太贵了啦！那时太想买了现在看到当当才280，立刻没犹豫就买下刚好放假了 等的那叫一个焦急连睡觉 散步都把手机拿着 生怕漏了送货员的电话唉唉唉 6天后终于来的货 我在顺德 和过几天卓越订的货一起来 估计是送货员偷懒出乎意料 这本twilight比UK 大开很多 纸质也很好的 淡黄色 问起来也很好闻很高兴啦，如果除去等待的痛苦不说……,正面,负面,194
说是送果盘，到了房间根本没有，打电话问了几遍，开始还说马上送，后来有说下班了，第二天才给送来，而且水果都是整个的，没切。但总体还算物有所值。,正面,负面,70
经朋友介绍，买来这本书。题目相当好，很有感染力。满怀期待地拜度后，才发现：内容零散、空洞，我越看越感到乏味。借给过已当父母的朋友，他们看后也与我同感。反正书本上唯一一个让我们有共同认同之处就是：要以孩子的角度去看待、体谅孩子，尊重、体谅都是必要的——这个道理即使未成父母的人都应该知道的，我们只是想得到更多实际的处理技巧。很可惜，这本书没有给到我们这方面很好的帮助！,负面,正面,183
晚上蚊子很多，本人及住在另一间房的朋友都被蚊子咬醒，在房间内找不到驱蚊香。 :(,正面,负面,40
包装很不错。很明显是新书。与以往的书很不相同。看来，当当的服务对我是越来越好了。但是，价格上看还是有点贵了。因为看了里面的内容与我想像的有一点点差别。但是，还是感觉很不错的一本书。对于刚刚恋爱或者刚出校门的女子来说，是很好的选择，对于已经有一点恋爱经验的人来说，这本书有点浅见了。但是，不影响阅读。因为这个世界有一半是男人。呵呵。,正面,负面,165
可以看出作者很用心，绘图细致精美，人物形象可爱，我很喜欢这只小狐狸~看《妈妈》这一章的时候，父母刚好都出差了，家里就我一人，所以看着看着就哭了（我已经一年多没哭过了）总体上非常好，不过因为我拿到的是崭新的书，所以刚打开时，油墨的味道很刺鼻，让人很难受。而且我看完整本书只花了10分钟，毕竟只是漫画书嘛，想追求丰富文字内容的朋友可能会失望……建议比较有“闲钱”的朋友购买~~,正面,负面,186
太好看了真是一本好书一本让人爱不释手的好书这还是第一本被我放在我家典藏书架的第一本动物小说！希望能在出一本好好书顶~顶 牧玲爷爷！,正面,负面,65
晕死，发表的评论竟然无法编辑？？？我想改几个错别字就不行吗？？？“于己，是一泄郁闷的痛苦”应该是“于己，是一泄郁闷的痛快”一字之差，意思大变！！！,正面,负面,73
前台服务较差，不为客户着想。房间有朋友来需要打扫，呼叫了两个小时也未打扫。房间下水道臭气熏天，卫生间漏水堵水。,正面,负面,55
我的家人都很喜欢，这本书买对了。呵呵，欢迎同好与我再交流，toryhellen@sina.com.,正面,负面,49
万豪是国际明牌酒店，前台服务总算合格、态度良好。 然而可能是重庆的关系，这家房间质素非常一般而已，旧、小、设施普通。按这房价在重庆的CBD解放碑可以找到房间质素高很多，但价格要便宜多的。 最值一提的是酒店大堂旁的西餐厅，中午自助餐可能由於没什么生意，食物新鲜度及服务员劣质的服务态度加上重庆顶级五星收费，会叫你马上决定别再考虑走进去。 在重庆解放碑已住过好几家五星，建议若则重品牌的住客，相若的房价，选洲际会发现相差很远，物有所值。,正面,负面,216
不值房价，早餐太糟，也许我去的比较晚，九点左右，没东西吃,正面,负面,28
"问题多.刚买回来光驱弹不出来,必须用针弄出来！无奈之下第二天就去了维修站拆机修了，但有事还是不灵，后来又发现待机无法唤醒！打了客服电话说要我刷主板！如拿他那修机器还拿不回来！明显主板有问题",正面,负面,94
这套书，是听别人介绍的，回家与3岁的女儿一起分享了故事内容，女儿越听越爱，现在我们会用故事里的对话在家玩游戏，真的很不错,负面,正面,60
我在京东网买的华硕笔记本，第二天就发现严重的问题，无法使用。后来在华硕维修站的检测后发现是主板坏了，但由于检测过程中拖的时间很长时间，以至于超过15天包换期。现在，我要求换新机或者退货。你们不能卖坏掉的残次品给客户吧？！希望能给我一个明确的答复，谢谢。手机：13341772746,正面,负面,140
但是，书比网上有删节，例如删掉网络版中轻寒轻轻吻了一下阿离等情节。不知编辑怎么想的，这有必要吗？,正面,负面,48
条件一般，就是地理位置不错，离市中心比较近，出行还比较方便。,负面,正面,30
很一般的酒店，因为定不到赣电了勉强入住下吧,正面,负面,21
《阴阳师.晴明取瘤》这本书买回来放在书架上好段日子，我都完了是什么时候买的了。在整理东西的时候看到正好睡不着就看看吧。看完之后觉得有点搞笑。是古代得鬼比较蠢呢，好是日本那边得鬼比较蠢？因为看现代得鬼故事都说到那些鬼事很精明，而且狡猾。我想问的就事晴明不是有式神吗？为什么到有事的时候式神不帮忙?过总结都不错，让我有想买其他几部回来看个完整。,正面,负面,170
"外观旧,停车场小,乱,还另外收钱,不过酒店还干净.",正面,负面,25
"一本教女人怎么做一个完全物质的流水线商品一样东西的书,韩国人真的非常物质这本书就是很好的反映.一个正常的人是有思想有感情的,并且由于这样社会才会非常多姿多彩.",负面,正面,79
总的来说还是不错的。针对国情其间的价格，还是一家性价比较比较高的酒店了。但如果没有车，不推荐住这家酒店。我们是一路问过去的。路标还算可以。定制的是园景房面对着游泳池，虽然晚到了还是下去小游了一会。感觉不错。但想要提提的是前台的服务，真的不能算是四星。评个三星也是免为其难了。check out的时候把我晾在一边足足有20分钟，在其他客人问题全部解决完以后居然依然不理我，还是我主动再提及房号，对方居然说我没跟他们说。而我明明在十分钟前就已听到查房那边电话说明已经检查完毕。这个需要改善。,正面,负面,243
